,Beginning,Middle,End,Uniform
$l_2$-error,27.23843193,27.83784767,24.62097311,32.71432812
FDR,0.05,0,0,0
TPR,0.218390805,0.208333333,0.240963855,0.198019802
runtime (sec),3.954679728,2.861869097,3.791842461,3.891170502
epochs,982,721,1001,1001
final_delta_h,1.00E-05,1.00E-05,2.00E-05,3.00E-05
