,Beginning,Middle,End,Uniform
$l_2$-error,0.5629627822502911,0.7606768374589737,0.5536941593446006,0.6099256092617914
FDR,0.0,0.0,0.0,0.0
TPR,1.0,1.0,1.0,1.0
runtime (sec),31.23256015777588,34.33427596092224,46.392520904541016,35.4125337600708
