,Beginning,Middle,End,Uniform
$l_2$-error,1.0143214123135684,1.6745471191319123,1.0685704755131629,1.1196941998718335
FDR,0.0,0.0,0.0,0.0
TPR,1.0,1.0,1.0,1.0
runtime (sec),2.4777941703796387,2.889122247695923,3.664752721786499,3.183403253555298
