,mu,sigma,gamma
0,-0.019013624041432517,0.09426677563006108,3.233239609440465e-123
1,0.1860431401764172,0.11098529698161061,1.5169851719582764e-122
2,0.08491128852615427,0.10239610446111923,4.8386795721611877e-123
3,0.19590563415592543,0.10414540078680273,2.0519968464466118e-122
4,0.09183007426499588,0.10589107447734238,5.165188452509619e-123
5,-0.04840299548956863,0.11124791767201489,4.098887696179087e-123
6,0.024843055518028994,0.09354939781303663,3.256624762320649e-123
7,9.929970275143882,0.09645270408854664,1.0
8,0.11642768829614737,0.0947706237557574,6.760876640995072e-123
9,0.12525871976707492,0.11468337658994301,6.96735200711401e-123
10,9.850271622229291,0.1036138744837069,1.0
11,-0.10748315726967844,0.1002886763115388,5.968346814654889e-123
12,0.017201155670385753,0.09285081934489646,3.1752532417413505e-123
13,-0.12040438943343851,0.1144066397818917,6.65954749692801e-123
14,10.188551436733661,0.1042522324023375,1.0
15,0.08817138169388201,0.09536142279187278,4.902894951701683e-123
16,0.20939262192320393,0.10513422688266122,2.566494058091586e-122
17,10.368569491930794,0.10298661113173732,1.0
18,-0.03998030723677031,0.08909399432652941,3.311062464032778e-123
19,0.2683840660029255,0.10018729056650402,1.2158341337179686e-121
20,0.1378487429247875,0.09259915748296854,9.417965851217646e-123
21,-0.11818620520396218,0.09995226693499681,6.740503941381921e-123
22,0.18736121940478057,0.09783817327007172,2.057677700697062e-122
23,0.05594017668169716,0.10482203451813887,4.052373540643814e-123
24,0.20202150233266525,0.1026022563845822,2.3952009291645197e-122
25,0.0853771499157159,0.09925369503290071,4.8160140585899616e-123
26,-0.09342340091419954,0.10411044909737521,5.2160296396309907e-123
27,0.19016522052989795,0.11204694572233886,1.5863548987476002e-122
28,-0.12224738399522059,0.09678699228039032,7.20752497778561e-123
29,-0.14383732958073686,0.09868528140912398,9.579063411530857e-123
30,0.40331848114729496,0.09475877250869073,2.7060611712100354e-119
31,0.012304222049458514,0.09381471669155123,3.18080354602346e-123
32,0.15252179053200784,0.1001629929791328,1.0714945201257191e-122
33,0.24428674170564607,0.09658271271137892,7.950240756376911e-122
34,0.049566812120080614,0.10297921235246753,3.878286751484387e-123
35,-0.12852529489533054,0.1126806914822059,7.227344311439198e-123
36,-0.11157229066969147,0.12311298308086824,6.205367066937644e-123
37,0.054550623558490455,0.09743829462870562,3.824115678064825e-123
38,0.054258577874386815,0.11160523563424514,4.208851960335997e-123
39,0.18059323611829567,0.09725151362680093,1.8331146400661693e-122
40,0.09569398029486337,0.10183825190248312,5.3056746810957935e-123
41,-0.08930130982790314,0.10243020257818375,5.018443654928671e-123
42,-0.01912974963732292,0.10263823524158752,3.5064859979810825e-123
43,-0.16598237019251982,0.09731207926253815,1.4001756800410904e-122
44,-0.09802586915175851,0.10317920384315891,5.427597208104098e-123
45,-0.16457518122345532,0.10664891005822145,1.1763553267632928e-122
46,-0.2955990672867979,0.10491321139328028,1.8615358727256127e-121
47,-0.21868192467127426,0.10098347300387062,3.54027999569756e-122
48,0.12262951446935377,0.0990913479843934,7.145135519748289e-123
49,0.09086934020912697,0.09529957975436215,5.034846527461426e-123
50,0.022771472123390934,0.09361294502927384,3.240596266433585e-123
51,-0.06963928669719203,0.10540990675902659,4.393709313464381e-123
52,0.0032953169649460245,0.10946035400095781,3.674720488083376e-123
53,0.16810516502488104,0.10131284124056561,1.3473484045061243e-122
54,0.11148495915650733,0.09962495215185951,6.245031522718979e-123
55,0.21117493932922204,0.10467142606829745,2.691246736325485e-122
56,0.01705822531926401,0.10313861197863247,3.510542562479013e-123
57,-0.02866250227594939,0.10863882104657116,3.77347501866036e-123
58,-0.04867896183786199,0.09930423174765454,3.7576290171240714e-123
59,9.098990015058204,0.11523832705971179,1.0
60,0.12217462495140642,0.10220918736558639,6.997648417308114e-123
61,-0.04824593764299174,0.10385578934428386,3.880260219772884e-123
62,-0.15669041132361455,0.09677290690366538,1.2055829606560167e-122
63,-0.21519035157265073,0.10314646585871017,3.05457323276041e-122
64,-0.30978064955070445,0.1143392858646733,1.5037085627329552e-121
65,-0.030258335797276308,0.09341355375959283,3.3077934003134965e-123
66,0.2719120098527529,0.10668540160492804,9.214122685151257e-122
67,0.13840866192099788,0.09156136372613309,9.641725548861129e-123
68,0.09630487908707396,0.09586571885097975,5.32355298643991e-123
69,-0.04286849244483286,0.0983295138237427,3.629571513038455e-123
70,-0.07961503269453686,0.1025400765882926,4.644832004063857e-123
71,-0.19436638782669652,0.09739559571645073,2.398659727588973e-122
72,-0.11279747107098649,0.10010840004623654,6.329589232554692e-123
73,0.2027644791159222,0.1075399435492809,2.135725964760675e-122
74,0.06943237880813753,0.10404506113430294,4.356873937391437e-123
75,9.552545356777703,0.10656679565564009,1.0
76,-0.1526786111712066,0.0994525594174469,1.0845703303859291e-122
77,0.1534472641153372,0.10590501904828703,1.0142376862456184e-122
78,0.15392537883453258,0.10665994204220984,1.0129147957632471e-122
79,0.21871090503818338,0.09898611748423701,3.821584050595211e-122
80,9.69312578099134,0.1121417901955165,1.0
81,0.01975267847245621,0.09986501342776415,3.4202716587090246e-123
82,-0.05279735514053121,0.08995370738006407,3.588721710686102e-123
83,0.02122029480712252,0.10722206785149703,3.669178086121226e-123
84,-0.00919108375748066,0.11861301791930264,3.9881809139629726e-123
85,0.10554027337002929,0.09010759354165951,6.004287879271957e-123
