,Beginning,Middle,End,Uniform
$l_2$-error,36.43128407,0.812975404,0.731387298,1.006779955
FDR,0.1,0,0,0
TPR,0.219512195,1,1,1
runtime (sec),302.782593,126.1049054,175.6132104,170.9002161
epochs,1001,533,599,833
final_delta_h,0.01084,1.00E-05,1.00E-05,1.00E-05
