,Beginning,Middle,End,Uniform
$l_2$-error,44.721359549995796,44.721359549995796,44.721359549995796,44.721359549995796
FDR,1.0,1.0,1.0,1.0
TPR,,,,
runtime (sec),0.6841425895690918,0.688591718673706,0.6707818508148193,0.6378955841064453
