,mu,sigma,gamma
0,-0.08129885864781472,0.09211543645628714,2.271949834432408e-05
1,0.07891631510213366,0.1066114292076023,2.3105051206124827e-05
2,-0.09948445847720035,0.10035213717440665,2.712151669301843e-05
3,-0.06329124521081879,0.09945606635948272,2.0288626032200478e-05
4,0.04670312672140146,0.10057835956196153,1.874978663349126e-05
5,0.056653227567904696,0.10622861359297602,2.032189384904901e-05
6,0.028460042287126865,0.08875642390551046,1.5926207388213386e-05
7,-0.005554578930290999,0.09044943451859852,1.5488870524729072e-05
8,-0.06662134353332386,0.09127032370311326,1.9983541699425467e-05
9,-0.1765625964234787,0.11519311696282722,6.1573906749765e-05
10,0.06511099192626818,0.0992224407906937,2.0494772091389738e-05
11,0.026117699853227875,0.0944994982551767,1.6641930448072676e-05
12,-0.14966507899299422,0.09386799578174689,5.6689955650047444e-05
13,0.016696107642568726,0.10724977693196802,1.8195572522185792e-05
14,-0.018977178553515252,0.09783130150428919,1.686673195191737e-05
15,0.0597372592087578,0.0915772960260942,1.9038464516280834e-05
16,0.08480217961915153,0.1015915897623792,2.3800620607450127e-05
17,-0.0206229932148309,0.09670768851981909,1.6752914976307883e-05
18,0.09683114813789413,0.0881045959768344,2.705566598726872e-05
19,0.05204142535925452,0.09526341681937776,1.856899211801337e-05
20,-0.059633533182349874,0.08880005367135164,1.8750555357305135e-05
21,0.03540716610355405,0.09446516971484398,1.7129304427965256e-05
22,-0.034271382781767876,0.09227897615107004,1.675578889796349e-05
23,0.09896428913749367,0.10272181361611324,2.6944289300381223e-05
24,-0.030089751475462605,0.09648214180678392,1.7114237229768127e-05
25,0.10094174756951248,0.09752066765836243,2.7641839469156886e-05
26,0.011137195495932978,0.0977798575081474,1.6673547759726104e-05
27,0.08142634896291015,0.10772084136122964,2.3584389614966317e-05
28,-0.05218585731923583,0.0923095768592599,1.8236235606248662e-05
29,-0.05011185924332794,0.09386415294858338,1.8211301179243338e-05
30,0.05602050754321225,0.0906010590188676,1.8474130878014385e-05
31,-0.042109602918740344,0.08958549495731329,1.6955785945975022e-05
32,-0.007033577419632208,0.09380355364583529,1.601435921342716e-05
33,0.021234829977446756,0.09070386198283878,1.5888167236985868e-05
34,0.08179199235225597,0.10005625354061777,2.3155646374256485e-05
35,0.067552980858196,0.10771047868679705,2.1654428565958078e-05
36,0.006999596048903038,0.11521562142745134,1.9214572495419058e-05
37,0.010346311477585576,0.09179802326525771,1.575800291611255e-05
38,-0.039601371471920936,0.10572753053209359,1.8933270365954325e-05
39,0.09128683040758226,0.09477557315769862,2.5084223850209943e-05
40,-0.1287192630419984,0.10127606201442725,3.766986261023584e-05
41,-0.013079073738818512,0.09627488608187515,1.6484825339171755e-05
42,-0.058857786688126135,0.09853696144649382,1.9667680422796425e-05
43,0.05144605261179705,0.0926149312784138,1.819513981951181e-05
44,-0.08049367295091721,0.09990138227319754,2.291051098467068e-05
45,-0.16053036244725172,0.10678938124702103,5.49775385053543e-05
46,0.10501585732473238,0.10259464869842147,2.8571568957862677e-05
47,0.14891761725344685,0.1009302963495557,5.011109403549828e-05
48,-0.014107685781126868,0.09302008954259024,1.6019053956140273e-05
49,0.003506329092289222,0.0895472892484499,1.5335294005606476e-05
50,-0.021532713179982867,0.08860598354125304,1.5589245738541602e-05
51,0.04505699008092612,0.10018350597423077,1.8569346444702246e-05
52,-0.13388696887211024,0.10903986076273146,3.80615684508902e-05
53,-0.054946453384118285,0.09645711913948568,1.9006694104087114e-05
54,-0.1328218002973452,0.09928179199783539,4.047056753418516e-05
55,-0.01017231109731616,0.09790021448344075,1.6675614467125526e-05
56,0.05577537484941672,0.09883559121764351,1.9368003713984176e-05
57,-0.055132770622319124,0.10382512834858622,1.9890717262692377e-05
