,Beginning,Middle,End,Uniform
$l_2$-error,0.6039250353588868,0.7815998558761711,0.535109202530071,0.6370858685600248
FDR,0.0,0.0,0.0,0.0
TPR,1.0,1.0,1.0,1.0
runtime (sec),65.70586919784546,65.32697129249573,87.34587454795837,74.39840340614319
