,Beginning,Middle,End,Uniform
$l_2$-error,0.616909969,0.770133335,0.599945875,0.618852718
FDR,0,0,0,0
TPR,0.952380952,1,1,1
runtime (sec),1130.953446,1083.123175,1614.511955,1353.0526
