,Beginning,Middle,End,Uniform
$l_2$-error,45.94035907,24.84297376,0.736460261,23.82418147
FDR,0.15,0.05,0,0
TPR,0.165048544,0.296875,1,0.317460317
runtime (sec),29.10041785,41.85234165,142.2190373,63.88956451
epochs,66,117,335,205
final_delta_h,0,0,0,0
