,Beginning,Middle,End,Uniform
$l_2$-error,0.5793926714850302,0.7603108074762542,0.5485072313464013,0.6121295582499315
FDR,0.0,0.0,0.0,0.0
TPR,1.0,1.0,1.0,1.0
runtime (sec),822.6117217540741,819.5150747299194,1180.5576169490814,911.8622586727142
